Yo siempre compro aquí,9995,9995
"yo recomiendo Nespresso, pero creo que la empres de mensajeria por la cual me enviaron el pedido es pesima.","104,9995","104,9995"
Ya van más de 15 días desde que notifiqué el problema con mi máquina y todavía no la recogen.,402,402
"Ya que recicláis las cápsulas, deberíais dar las bolsas para su reciclado. Siempre las pido y casi nunca te las dan, me parece incoherente con la política de gestión de residuos y cuidado del medio ambiente. Me FASTIDIA muchísimo estar mendigándolas, TENDRÍA que SER INICIATIVA DE NESPRESSO.",301,301
"Ya no hay nada que hacer. La próxima vez tendré más cuidado con sus promociones engañosas,",203,203
Ya hace más de 20 días que reporté el fallo de mi cafetera y sigo sin noticias sobre la recogida.,402,402
Volvamos a ofrecer un café a los clientes. Gracias,702,"9201,9995"
Vivo en Segovia y no tengo ninguna manera de reciclar las cápsulas. Eso no me gusta nada.,301,301
Visité la tienda para comprar cápsulas de café Vertuo porque habia visto repetidamente una promoción de 60 cápsulas de regalo que actualmente continua publicándose.  Lamento decir que considero que es una publicidad engañosa ya que me explicaron que es solamente para los clientes que reciben un mail con la oferta.,203,203
Visitar una boutique de Nespresso es una experiencia agradable gracias al ambiente y la profesionalidad del personal.,9701,9701
Visitar la tienda Nespresso es como un paraíso para los amantes del café como yo.,9701,9701
Vinieron cápsulas en mal estado . Ni me las han devuelto . El pedido tarda siempre bastante más de lo que pone,"101,0102","101,0102"
Variedad y facilidad de uso en las cafeteras son ideales.,9201,9201
Valoro mucho los gestos de agradecimiento de Nespresso.,9203,9201
Valoro mucho el trato y la facilidad que encuentro en cada interacción con Nespresso.,9801,9801
Valoro la responsabilidad ambiental de esta marca.,9301,9301
"Valoro el trato, la diligencia y la amabilidad de la persona que nos atendió en Nespresso.",9701,9701
Valoraré siempre los obsequios en forma de cápsulas y las promociones que ofrecen.,9203,9201
Valorar positivamente los obsequios en forma de cápsulas y las promociones que han realizado.,9203,9201
"Valorar a los clientes es fundamental, y Nespresso lo hace bien.",9203,9801
Valoran y responden objetivamente a los problemas.,9801,9801
Valoramos mucho las ofertas exclusivas.,9203,9201
Valoramos mucho el esfuerzo de Nespresso por cuidar a sus clientes.,9801,9801
Valorais mas a los nuevos socios que a a los que llevan tiempo con Nespresso,204,204
Valoración positiva por la rápida respuesta a mi reclamación al servicio técnico.,9401,9401
Una variedad impresionante de cafés con un servicio excelente.,9201,9201
Una tienda física cerca de casa sería ideal para evitar pedidos mínimos.,708,708
Una renovación de la tienda de Alicante sería bienvenida para disfrutar del café de manera más cómoda.,708,"9701,9702"
"Una promoción real que tenía fue negada por la empresa, lo que me hizo sentir engañada.",203,203
"Una máquina nesspreso Vertuo, tengo dos. Una de ellas con poco más de dos años no funciona. Una máquina que no tiene un uso excesivo. Arreglarla cuesta ahora más que comprar una nueva. Con el servicio técnico gaste un montón de pastillas, líquido para limpiar,… y al final no sirvió para nada. ",406,406
Una limitación notable del personal de Nespresso es su falta de autonomía para ayudar en cuestiones relacionadas con los datos de los usuarios.,808,808
"Una experiencia lamentable con el servicio técnico, sin duda. simplemente porque creo que las cápsulas de aluminio son poco ecológicas","406,0302","301,0206"
"Una experiencia lamentable con el servicio técnico, sin duda. Pedí cápsulas de café específicas, y me entregaron una variedad diferente que no quería.","406,0103",203
"Una experiencia lamentable con el servicio técnico, sin duda. Mi pedido se ha retrasado dos veces consecutivas, y ya no confío en que llegue a tiempo.","406,0102",402
"Una experiencia lamentable con el servicio técnico, sin duda. Me siento completamente cómodo con el reciclaje.","406,9301","406,9301"
"Una experiencia lamentable con el servicio técnico, sin duda.",406,406
"Una decepcion porque la maquina que me dejaron de cortesia no funcionaba, de hecho me lleno toda la encimera de agua. Y no debo ser la unica, porque conozco mas personas por mi zona que han tenido situaciones incluso peores...",405,405
Una de las cajas de cápsulas en mi último pedido llegó con las cápsulas aplastadas y no recibí ninguna solución por parte de la empresa.,"101,0808",101
Una cápsula estaba reventada dentro del tubo,101,206
"Una cafetera se termina la garantía y se estropea y ahora vale más arreglarla que comprar una nueva y todo esto comprando siempre cápsulas originales Nespreso  , no sé hasta qué punto ni mi saldría mejor por comprar Cápsulas más baratas si la cafetera se va estropear igual ",207,207
"Una cafetera se termina la garantía y se estropea y ahora vale más arreglarla que comprar una nueva y todo esto comprando siempre cápsulas originales Nespreso  , no sé hasta qué punto ni mi saldría mejor por comprar Cápsulas más baratas si la cafetera se va estropear igual ",207,207
Una boutique Nespresso en Cádiz sería bienvenida.,708,708
Una boutique en el centro de la ciudad sería una recomendación más sólida para Nespresso.,708,9708
Una atención estupenda y con respuesta y solución inmediata a mi problema.,9801,9801
Un sistema de recogida de cápsulas a domicilio aumentaría la tasa de reciclaje.,301,301
Un sistema de depósito para cápsulas podría incentivar el reciclaje.,301,301
Un servicio de suscripción para reciclar cápsulas podría ser muy efectivo.,301,"301,9201"
Un sabor único que no se encuentra en ningún otro lugar.,9201,9201
Un punto de recogida en Zumaia (Gipuzkoa) sería de utilidad para quienes no pueden acudir a una tienda Nespresso.,708,708
Un producto exquisito y una empresa muy fiable.,9201,"9201,9201"
Un producto distinguido respaldado por una empresa seria.,9201,9201
Un producto de calidad con una amplia variedad de opciones.,9201,9201
Un lema bien elaborado puede llegar a convertirse en sinónimo de una marca.,9202,9202
Un eslogan bien formulado puede convertirse en sinónimo de una marca.,9202,9995
Un buen eslogan puede hacer que recuerde una marca.,9202,9201
Un ajuste de precios podría ser beneficioso para alcanzar a un público más amplio.,201,201
"Últimamente, Nespresso ha estado haciendo cambios constantes en sus cafés.",208,208
"Últimamente, mi percepción de Nespresso ha disminuido debido a su enfoque en promocionar nuevas cápsulas que no me atraen, y a un incremento de precios que parece estar oculto.","202,0201",201
"Últimamente, los paquetes de mis pedidos en línea han llegado en mal estado, lo que es preocupante.",101,101
Ultimamente no se da un cafe a probar cuando vas a los establecimientos,702,702
"Últimamente el servicio online es pésimo, voy a dejar de ser clienta después de 10 años con nexpreso, por el mal servicio que tengo, actualmente llevo días reclamando mi pedido y no me lo entregan ","501,0102",102
"Últimamente el servicio online es pésimo, voy a dejar de ser clienta después de 10 años con nexpreso, por el mal servicio que tengo, actualmente llevo días reclamando mi pedido y no me lo entregan ","501,0102",102
"Tuve una mala experiencia con el servicio de chat de Nespresso el pasado 16/11/2023; necesitaba hablar con un asesor, pero no hubo respuesta a mi solicitud.",501,808
Tuve una avería en una de mis cafeteras Nespresso y se la llevaron hasta en tres ocasiones para arreglarla. Es una latissima One y no se termino de solucionar hasta que me cambiaron por un recambio nuevo el contenedor de leche,401,401
"Tuve un problema significativo con la entrega de Seur: mi pedido de 226 euros llegó reprecintado y mal organizado, con varios paquetes de café abiertos o faltantes y una taza perdida.","101,0104",104
Tuve un problema con los cartuchos y parte de las cápsulas que venían tocados,101,101
"Tuve un problema con el envío recibido, llegó en mal estado. Pero ha sido solventado de manera agil y rápida por el servicio de nespresso. ","101,9401","101,9401"
