VERBATIM,CODES
"Meh, no tengo nada especial que comentar.",9
Muy,9
nada,9
Nada en particular que mencionar.,9
"No sé qué decir, fue una compra sin más.",9
Error tras error,95
No me han solucionado el problema,406
No tienen palabras,95
Tiene margen de mejora. No fue la mejor experiencia.,808
"Tras probar otras marcas, me decantó por las otras",95
Una cápsula estaba reventada dentro del tubo,101
"Últimamente, los paquetes de mis pedidos en línea han llegado en mal estado, lo que es preocupante.",101
Tuve un problema con los cartuchos y parte de las cápsulas que venían tocados,101
Estoy muy decepcionado porque el paquete llegó roto y algunas cápsulas se derramaron.,101
"El paquete llegó aplastado y el contenido estaba dañado. Estoy muy decepcionado con el estado en el que llegó mi cafetera. Sin embargo, la profesionalidad y amabilidad de los dependientes en las tiendas de Nespresso son altamente apreciadas.","101,9701"
"Tuve un problema con el envío recibido, llegó en mal estado. Pero ha sido solventado de manera agil y rápida por el servicio de nespresso. ","101,9401"
"Estoy esperando mi cafetera desde hace mucho tiempo, y el retraso en la entrega está arruinando mi entusiasmo.",102
He hecho un pedido el 11de agosto por teléfono y hoy día 19 de agosto no lo he recibido...,102
"Mi cafetera se retrasó dos veces consecutivas, y ya no confío en que llegue a tiempo.",102
"La entrega programada no la cumplen y ni avisan, nefasto servicio","102,0104"
El tiempo de entrega demasiado largo,102
Mi último pedido tardo en llegar más de 14 días. Nefasto el servicio de entrega.,102
"Estoy esperando mi cafetera desde hace mucho tiempo, y el retraso en la entrega está arruinando mi entusiasmo. Encantado por recibir la bolsa de reciclaje.","102,9301"
"Se equivocaron con mi último pedido duplicando el número de cápsulas, y tardaron mucho en hacer la devolución.","103,0102"
"Recibí mi pedido de Nespresso, pero faltaban varias cápsulas. Llamé y me aseguraron que enviarían las faltantes, pero aún no han llegado.",103
"Realicé un pedido grande de Nespresso, pero al revisar, faltaban varios productos.",103
"Me enviaron un producto equivocado, y ahora tengo que lidiar con la molestia de la devolución.",103
Mi pedido llegó incorrectamente y ahora tengo que esperar a que se resuelva.,103
Me enviaron una cafetera que no coincide en absoluto con lo que pedí. Esto es una gran molestia.,103
Estoy molesto porque falta una pieza importante en mi pedido y no puedo utilizar el producto.,103
Pedí cápsulas de café específicas y me dieron una variedad diferente que no quería.,103
"Cometieron un error en mi pedido y en lugar de las cápsulas de café que pedí, recibí tazas de café. Eso no es lo que esperaba.",103
"El pedido llegó con una pieza faltante, lo que afecta gravemente su funcionalidad. Además, cuando compré la cafetera, la caja estaba rota y el asa de la cafetera estaba partida en dos. ¿Qué tipo de servicio es este?","103,0101"
